x.pos,y.pos,year,month,day,Depth,TNO,survey,transect,area,Nhat,yearmonth,impact
398597.69,6150414.09,2005,11,19,29.9,104,1,4,0.956,0,200511,0
398617.15,6150913.72,2005,11,19,30.2,104,1,4,0.956,0,200511,0
398623.06,6151413.64,2005,11,19,30.46,104,1,4,0.956,0,200511,0
398628.89,6151913.58,2005,11,19,30.66,104,1,4,0.956,0,200511,0
398632.61,6152413.57,2005,11,19,30.75,104,1,4,0.956,0,200511,0
398637.26,6152913.54,2005,11,19,30.54,104,1,4,0.956,0,200511,0
398648.21,6153413.43,2005,11,19,30.16,104,1,4,0.956,0,200511,0
398654.49,6153913.36,2005,11,19,29.99,104,1,4,0.956,0,200511,0
398664.14,6154413.25,2005,11,19,29.91,104,1,4,0.956,0,200511,0
398666.02,6154913.24,2005,11,19,29.59,104,1,4,0.956,0,200511,0
398663.71,6155413.22,2005,11,19,29.5,104,1,4,0.956,0,200511,0
398652.97,6155913.09,2005,11,19,29.52,104,1,4,0.956,0,200511,0
398649.1,6156413.06,2005,11,19,29.56,104,1,4,0.956,0,200511,0
398651.35,6156913.06,2005,11,19,29.58,104,1,4,0.956,0,200511,0
398647.07,6157413.03,2005,11,19,29.58,104,1,4,0.956,0,200511,0
398651.09,6157912.94,2005,11,19,29.49,104,1,4,0.956,0,200511,0
398670.21,6158412.55,2005,11,19,29.16,104,1,4,0.956,0,200511,0
398680.65,6158912.43,2005,11,19,28.62,104,1,4,0.956,0,200511,0
398689.81,6159412.34,2005,11,19,27.99,104,1,4,0.956,0,200511,0
398691.52,6159912.32,2005,11,19,27.32,104,1,4,0.956,0,200511,0
398693.68,6160412.27,2005,11,19,26.98,104,1,4,0.956,0,200511,0
398683.47,6160912.2,2005,11,19,26.62,104,1,4,0.956,0,200511,0
398672.25,6161412.03,2005,11,19,26.09,104,1,4,0.956,0,200511,0
398664.22,6161911.94,2005,11,19,25.48,104,1,4,0.956,0,200511,0
398661.11,6162411.93,2005,11,19,25.07,104,1,4,0.956,0,200511,0
398657.39,6162911.92,2005,11,19,24.92,104,1,4,0.956,0,200511,0
398648.56,6163411.8,2005,11,19,24.27,104,1,4,0.956,0,200511,0
398647.06,6163911.76,2005,11,19,23.02,104,1,4,0.956,0,200511,0
398626.57,6164411.26,2005,11,19,21.72,104,1,4,0.956,0,200511,0
398578.87,6164908.89,2005,11,19,20.35,104,1,4,0.956,0,200511,0
398540.54,6165407.29,2005,11,19,19.44,104,1,4,0.956,0,200511,0
398528.63,6165907.12,2005,11,19,18.44,104,1,4,0.956,0,200511,0
398531.7,6166407.08,2005,11,19,17.36,104,1,4,0.956,0,200511,0
398522.65,6166906.98,2005,11,19,17.54,104,1,4,0.956,0,200511,0
398510.82,6167406.85,2005,11,19,18.27,104,1,4,0.956,0,200511,0
398494.36,6167906.55,2005,11,19,18.8,104,1,4,0.956,0,200511,0
398478.97,6168406.29,2005,11,19,18.61,104,1,4,0.956,0,200511,0
398463.7,6168906.06,2005,11,19,18.23,104,1,4,0.956,0,200511,0
398437.48,6169405.35,2005,11,19,18.1,104,1,4,0.956,0,200511,0
398421.93,6169905.06,2005,11,19,18.53,104,1,4,0.956,0,200511,0
398398.16,6170404.51,2005,11,19,19.16,104,1,4,0.956,0,200511,0
398382.77,6170904.27,2005,11,19,19.86,104,1,4,0.956,0,200511,0
398372.99,6171404.17,2005,11,19,20.51,104,1,4,0.956,0,200511,0
398368.15,6171904.14,2005,11,19,21.14,104,1,4,0.956,0,200511,0
398363.93,6172404.09,2005,11,19,21.74,104,1,4,0.956,0,200511,0
398362.85,6172904.01,2005,11,19,22.29,104,1,4,0.956,0,200511,0
398355.5,6173403.84,2005,11,19,22.74,104,1,4,0.956,0,200511,0
398368.47,6173903.59,2005,11,19,22.96,104,1,4,0.956,0,200511,0
398357.67,6174403.37,2005,11,19,23.03,104,1,4,0.956,0,200511,0
398364.51,6174903.26,2005,11,19,23.02,104,1,4,0.956,0,200511,0
398374.16,6175403.15,2005,11,19,22.96,104,1,4,0.956,0,200511,0
398375.69,6175903.14,2005,11,19,22.81,104,1,4,0.956,0,200511,0
398384.17,6176403.06,2005,11,19,22.73,104,1,4,0.956,0,200511,0
398385.14,6176903.03,2005,11,19,22.68,104,1,4,0.956,0,200511,0
398372.63,6177402.82,2005,11,19,22.68,104,1,4,0.956,0,200511,0
